paper_title,venue,year,author_names,bibtex,abstract,pdf_url,google_search_url,source_page_url
Real-time communications for the web,Communications Magazine IEEE vol. 51 (2013) pp. 20-26,2013,Cullen Jenngins Ted Hardie Magnus Westerlund,@article{41400 title = {Real-time communications for the web} author = {Cullen Jenngins and Ted Hardie and Magnus Westerlund} year = 2013 URL = {http://ieeexplore.ieee.org/application/enterprise/entconfirmation.jsp?arnumber=6495756&icp=false} journal = {Communications Magazine IEEE} pages = {20-26} volume = {51} },This article provides an overview of the work that W3C and IETF are doing toward defining a framework protocols and application programming interfaces that will provide real-time interactive voice video and data in web browsers and other applications. The article explains how media and data will flow in a peer-to-peer style directly between two web browsers. This explains the protocols used to transport and secure the encrypted media traverse NATs and firewalls negotiate media capabilities and provide identity for the media.,http://ieeexplore.ieee.org/application/enterprise/entconfirmation.jsp?arnumber=6495756&icp=false,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Real-time+communications+for+the+web+Jenngins+Hardie+Westerlund,http://research.google.com/pubs/pub41400.html
Local Collaborative Ranking,International World Wide Web Conference (2014),2014,Joonseok Lee Samy Bengio Seungyeon Kim Guy Lebanon Yoram Singer,@inproceedings{42242 title = {Local Collaborative Ranking} author = {Joonseok Lee and Samy Bengio and Seungyeon Kim and Guy Lebanon and Yoram Singer} year = 2014 booktitle = {International World Wide Web Conference} },Personalized recommendation systems are used in a wide variety of applications such as electronic commerce social networks web search and more. Collaborative filtering approaches to recommendation systems typically assume that the rating matrix (e.g. movie ratings by viewers) is low-rank. In this paper we examine an alternative approach in which the rating matrix is \emph{locally low-rank}. Concretely we assume that the rating matrix is low-rank within certain neighborhoods of the metric space defined by (user item) pairs. We combine a recent approach for local low-rank approximation based on the Frobenius norm with a general empirical risk minimization for ranking losses. Our experiments indicate that the combination of a mixture of local low-rank matrices each of which was trained to minimize a ranking loss outperforms many of the currently used state-of-the-art recommendation systems. Moreover our method is easy to parallelize making it a viable approach for large scale real-world rank-based recommendation systems.,http://research.google.com/pubs/archive/42242.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Local+Collaborative+Ranking+Lee+Bengio+Kim+Lebanon+Singer,http://research.google.com/pubs/pub42242.html
Weave: Scripting Cross-Device Wearable Interaction,CHI 2015: ACM Conference on Human Factors in Computing Systems ACM pp. 3923-3932,2015,Pei-Yu (Peggy) Chi Yang Li,@inproceedings{44264 title = {Weave: Scripting Cross-Device Wearable Interaction} author = {Pei-Yu (Peggy) Chi and Yang Li} year = 2015 booktitle = {CHI 2015: ACM Conference on Human Factors in Computing Systems} pages = {3923-3932} },Provides a set of high-level APIs based on JavaScript and integrated tool support for developers to easily distribute UI output and combine user input and sensing events across devices for cross-device interaction.,,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Weave:+Scripting+Cross-Device+Wearable+Interaction+Chi+Li,http://research.google.com/pubs/pub44264.html
Temporal/Spatial Calendar Events and Triggers,Defensive Publications Series Technical Disclosure Commons (2015),2015,Daniel V. Klein Dean Jackson,@incollection{43422 title = {Temporal/Spatial Calendar Events and Triggers} author = {Daniel V. Klein and Dean Jackson} year = 2015 URL = {http://www.tdcommons.org/dpubs_series/31/} booktitle = {Defensive Publications Series} },Spatial and/or temporal triggers may be established so that when actuated one or more notifications such as reminders may be provided to one or more users. These triggers may be established manually e.g. by a user operating a user interface automatically e.g. by scraping calendar and/or email data to ascertain and/or predict various aspects of upcoming appointments such as start times duration date location and so forth or a combination of the two. Spatial triggers may be actuated based on a determination that a user is or will be at a particular location. Temporal triggers may be actuated at particular points in time e.g. at the scheduled time of an event or at some predetermined time interval before or after the event. Using one or more triggers it is possible to provide notifications to a user at some predetermined time interval prior to a scheduled event so that the user has sufficient time to make appropriate arrangements such as buying tickets making a reservation scheduling a rendezvous with a friend and so forth. A calendar system may also be interfaced with to manually or automatically establish triggers.,http://www.tdcommons.org/dpubs_series/31/,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Temporal/Spatial+Calendar+Events+and+Triggers+Klein+Jackson,http://research.google.com/pubs/pub43422.html
Inferring the Network Latency Requirements of Cloud Tenants,15th Workshop on Hot Topics in Operating Systems (HotOS XV) USENIX Association (2015),2015,Jeffrey C Mogul Ramana Rao Kompella,@inproceedings{43867 title = {Inferring the Network Latency Requirements of Cloud Tenants}} author = {Jeffrey C Mogul and Ramana Rao Kompella} year = 2015 URL = {https://www.usenix.org/conference/hotos15/workshop-program/presentation/mogul} booktitle = {15th Workshop on Hot Topics in Operating Systems (HotOS XV)} },Cloud IaaS and PaaS tenants rely on cloud providers to provide network infrastructures that make the appropriate tradeoff between cost and performance. This can include mechanisms to help customers understand the performance requirements of their applications. Previous research (e.g. Proteus and Cicada) has shown how to do this for network-bandwidth demands but cloud tenants may also need to meet latency objectives which in turn may depend on reliable limits on network latency and its variance within the cloud providers infrastructure. On the other hand if network latency is sufficient for an application further decreases in latency might add cost without any benefit. Therefore both tenant and provider have an interest in knowing what network latency is good enough for a given application. This paper explores several options for a cloud provider to infer a tenants network-latency demands with varying tradeoffs between requirements for tenant participation accuracy of inference and instrumentation overhead. In particular we explore the feasibility of a hypervisor-only mechanism which would work without any modifications to tenant code even in IaaS clouds.,http://research.google.com/pubs/archive/43867.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Inferring+the+Network+Latency+Requirements+of+Cloud+Tenants%7D+Mogul+Kompella,http://research.google.com/pubs/pub43867.html
A Pole-Zero Filter Cascade Provides Good Fits to Human Masking Data and to Basilar Membrane and Neural Data,Mechanics of Hearing (2011),2011,Richard F. Lyon,@inproceedings{37210 title = {A Pole-Zero Filter Cascade Provides Good Fits to Human Masking Data and to Basilar Membrane and Neural Data} author = {Richard F. Lyon} year = 2011 booktitle = {Mechanics of Hearing} },A cascade of two-pole–two-zero filters with level-dependent pole and zero dampings with few parameters can provide a good match to human psychophysical and physiological data. The model has been fitted to data on detection threshold for tones in notched-noise masking including bandwidth and filter shape changes over a wide range of levels and has been shown to provide better fits with fewer parameters compared to other auditory filter models such as gammachirps. Originally motivated as an efficient machine implementation of auditory filtering related to the WKB analysis method of cochlear wave propagation such filter cascades also provide good fits to mechanical basilar membrane data and to auditory nerve data including linear low-frequency tail response level-dependent peak gain sharp tuning curves nonlinear compression curves level-independent zero-crossing times in the impulse response realistic instantaneous frequency glides and appropriate level-dependent group delay even with minimum-phase response. As part of exploring different level-dependent parameterizations of such filter cascades we have identified a simple sufficient condition for stable zero-crossing times based on the shifting property of the Laplace transform: simply move all the $s$-domain poles and zeros by equal amounts in the real-$s$ direction. Such pole-zero filter cascades are efficient front ends for machine hearing applications such as music information retrieval content identification speech recognition and sound indexing.,http://research.google.com/pubs/archive/37210.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=A+Pole-Zero+Filter+Cascade+Provides+Good+Fits+to+Human+Masking+Data+and+to+Basilar+Membrane+and+Neural+Data+Lyon,http://research.google.com/pubs/pub37210.html
Multi-component Models for Object Detection,European Conference on Computer Vision Springer (2012) Volume 4 445-458,2012,Chunhui Gu Pablo Arbelaez Yuanqing Lin Kai Yu Jitendra Malik,@inproceedings{40665 title = {Multi-component Models for Object Detection} author = {Chunhui Gu and Pablo Arbelaez and Yuanqing Lin and Kai Yu and Jitendra Malik} year = 2012 URL = {http://link.springer.com/chapter/10.1007%2F978-3-642-33765-9_32} booktitle = {European Conference on Computer Vision} pages = {Volume 4 445--458} },In this paper we propose a multi-component approach for object detection. Rather than attempting to represent an object category with a monolithic model or pre-defining a reduced set of aspects we form visual clusters from the data that are tight in appearance and configuration spaces. We train individual classifiers for each component and then learn a second classifier that operates at the category level by aggregating responses from multiple components. In order to reduce computation cost during detection we adopt the idea of object window selection and our segmentation-based selection mechanism produces fewer than 500 windows per image while preserving high object recall. When compared to the leading methods in the challenging VOC PASCAL 2010 dataset our multi-component approach obtains highly competitive results. Furthermore unlike monolithic detection methods our approach allows the transfer of finer-grained semantic information from the components such as keypoint location and segmentation masks.,http://research.google.com/pubs/archive/40665.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Multi-component+Models+for+Object+Detection+Gu+Arbelaez+Lin+Yu+Malik,http://research.google.com/pubs/pub40665.html
The Future of Computing Performance: Game Over or Next Level?,The National Academies Press (2011) pp. 200,2011,Samuel H. Fuller Luiz André Barroso Robert P. Colwell William J. Dally Dan Dobberpuhl Pradeep Dubey Mark D. Hill Mark Horowitz David Kirk Monica Lam Kathryn S. McKinley Charles Moore Katherine Yelick,none,"The end of dramatic exponential growth in single-processor performance marks the end of the dominance of the single microprocessor in computing. The era of sequential computing must give way to a new era in which parallelism is at the forefront. Although important scientific and engineering challenges lie ahead this is an opportune time for innovation in programming systems and computing architectures. We have already begun to see diversity in computer designs to optimize for such considerations as power and throughput. The next generation of discoveries is likely to require advances at both the hardware and software levels of computing systems. There is no guarantee that we can make parallel computing as common and easy to use as yesterday's sequential single-processor computer systems but unless we aggressively pursue efforts suggested by the recommendations in this book it will be ""game over"" for growth in computing performance. If parallel programming and related software efforts fail to become widespread the development of exciting new applications that drive the computer industry will stall; if such innovation stalls many other parts of the economy will follow suit. The Future of Computing Performance describes the factors that have led to the future limitations on growth for single processors that are based on complementary metal oxide semiconductor (CMOS) technology. It explores challenges inherent in parallel computing and architecture including ever-increasing power consumption and the escalated requirements for heat dissipation. The book delineates a research practice and education agenda to help overcome these challenges. The Future of Computing Performance will guide researchers manufacturers and information technology professionals in the right direction for sustainable growth in computer performance so that we may all enjoy the next level of benefits to society.",http://www.nap.edu/catalog.php?record_id=12980,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=The+Future+of+Computing+Performance:+Game+Over+or+Next+Level%3F+Fuller+Barroso+Colwell+Dally+Dobberpuhl+Dubey+Hill+Horowitz+Kirk+Lam+McKinley+Moore+Yelick,http://research.google.com/pubs/pub40496.html
Deep boosting,Proceedings of the Thirty-First International Conference on Machine Learning (ICML 2014),2014,Corinna Cortes Mehryar Mohri Umar Syed,@inproceedings{42856 title = {Deep boosting} author = {Corinna Cortes and Mehryar Mohri and Umar Syed} year = 2014 booktitle = {Proceedings of the Thirty-First International Conference on Machine Learning (ICML 2014)} },We present a new ensemble learning algorithm DeepBoost which can use as base classifiers a hypothesis set containing deep decision trees or members of other rich or complex families and succeed in achieving high accuracy without overfitting the data. The key to the success of the algorithm is a capacity-conscious criterion for the selection of the hypotheses. We give new data- dependent learning bounds for convex ensembles expressed in terms of the Rademacher complexities of the sub-families composing the base classifier set and the mixture weight assigned to each sub-family. Our algorithm directly benefits from these guarantees since it seeks to minimize the corresponding learning bound. We give a full description of our algorithm including the details of its derivation and report the results of several experiments showing that its performance compares favorably to that of AdaBoost and Logistic Regression and their L1-regularized variants.,http://research.google.com/pubs/archive/42856.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Deep+boosting+Cortes+Mohri+Syed,http://research.google.com/pubs/pub42856.html
Incremental Clicks: The Impact of Search Advertising,Journal of Advertising Research vol. 51 no. 4 (2011) pp. 643-647,2011,David X. Chan Yuan Yuan Jim Koehler Deepak Kumar,@article{38334 title = {Incremental Clicks: The Impact of Search Advertising} author = {David X. Chan and Yuan Yuan and Jim Koehler and Deepak Kumar} year = 2011 URL = {http://dx.doi.org/10.2501/JAR -51-4-643-647} journal = {Journal of Advertising Research} pages = {643--647} volume = {51 no. 4} },In this research the authors examined how the number of organic clicks changed when search ads were present and when search ad campaigns were turned off. The authors developed a statistical model to estimate the fraction of total clicks that could be attributed to search advertising. A meta-analysis of several hundred of these studies revealed that more than 89 percent of the ads clicks were incremental in the sense that those visits to the advertiser's site would not have occurred without the ad campaigns.,http://dx.doi.org/10.2501/JAR%20-51-4-643-647,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Incremental+Clicks:+The+Impact+of+Search+Advertising+Chan+Yuan+Koehler+Kumar,http://research.google.com/pubs/pub38334.html
