id,Volume,vol_link,title,authors,Details,Pdf link,vol_link,Addition url,date,data of the conference,conference_name,conference_name_long,Place,editors,id,abs_link,abstracts
1,10,http://jmlr.csail.mit.edu/proceedings/papers/v10/,Increasing Feature Selection Accuracy for L1 Regularized Linear Models,Abhishek Jaiantilal and Gregory Grudic,"10:86-96, 2010.",http://jmlr.csail.mit.edu/proceedings/papers/v10/jaiantilal10a/jaiantilal10a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v10/,,26th May 2010,2010 Jun 21,FSDM 2010 Proceedings,Proceedings of the Fourth International Workshop on Feature Selection in Data Mining,"Hyderabad, India","Huan Liu, Hiroshi Motoda, Rudy Setiono, Zheng Zhao",v10_jaiantilal10a,http://jmlr.csail.mit.edu/proceedings/papers/v10/jaiantilal10a.html,L1 (also referred to as the 1-norm or Lasso) penalty based formulations have been shown to be eective in problem domains when noisy features are present. However the L1 penalty does not give favorable asymptotic properties with respect to feature selection and has been shown to be inconsistent as a feature selection estimator; e.g. when noisy features are correlated with the relevant features. This can aect the estimation of the correct feature set in certain domains like robotics when both the number of examples and the number of features are large. The weighted lasso penalty by (Zou 2006) has been proposed to rectify this problem of correct estimation of the feature set. This paper proposes a novel method for identifying problem specific L1 feature weights by utilizing the results from (Zou 2006) and (Rocha et al. 2009) and is applicable to regression and classification algorithms. Our method increases the accuracy of L1 penalized algorithms through randomized experiments on subsets of the training data as a fast pre-processing step. We show experimental and theoretical results supporting the ecacy of the proposed method on two L1 penalized classification algorithms.
2,10,http://jmlr.csail.mit.edu/proceedings/papers/v10/,A Statistical Implicative Analysis Based Algorithm and MMPC Algorithm for Detecting Multiple Dependencies,"Elham Salehi, Jayashree Nyayachavadi and Robin Gras","10:22-34, 2010.",http://jmlr.csail.mit.edu/proceedings/papers/v10/salehi10a/salehi10a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v10/,,26th May 2010,2010 Jun 21,FSDM 2010 Proceedings,Proceedings of the Fourth International Workshop on Feature Selection in Data Mining,"Hyderabad, India","Huan Liu, Hiroshi Motoda, Rudy Setiono, Zheng Zhao",v10_salehi10a,http://jmlr.csail.mit.edu/proceedings/papers/v10/salehi10a.html,Discovering the dependencies among the variables of a domain from examples is an important problem in optimization. Many methods have been proposed for this purpose but few large-scale evaluations were conducted. Most of these methods are based on measurements of conditional probability. The statistical implicative analysis offers another perspective of dependencies. It is important to compare the results obtained using this approach with one of the best methods currently available for this task: the MMPC heuristic. As the SIA is not used directly to address this problem we designed an extension of it for our purpose. We conducted a large number of experiments by varying parameters such as the number of dependencies the number of variables involved or the type of their distribution to compare the two approaches. The results show strong complementarities of the two methods.
3,10,http://jmlr.csail.mit.edu/proceedings/papers/v10/,Feature Selection for Text Classification Based on Gini Coefficient of Inequality,"Ranbir Sanasam, Hema Murthy and Timothy Gonsalves","10:76-85, 2010.",http://jmlr.csail.mit.edu/proceedings/papers/v10/sanasam10a/sanasam10a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v10/,,26th May 2010,2010 Jun 21,FSDM 2010 Proceedings,Proceedings of the Fourth International Workshop on Feature Selection in Data Mining,"Hyderabad, India","Huan Liu, Hiroshi Motoda, Rudy Setiono, Zheng Zhao",v10_sanasam10a,http://jmlr.csail.mit.edu/proceedings/papers/v10/sanasam10a.html,A number of feature selection mechanisms have been explored in text categorization among which mutual information information gain and chi-square are considered most effective. In this paper we study another method known as {\it within class popularity} to deal with feature selection based on the concept {\it Gini coefficient of inequality} (a commonly used measure of inequality of \textit{income}). The proposed measure explores the relative distribution of a feature among different classes. From extensive experiments with four text classifiers over three datasets of different levels of heterogeneity we observe that the proposed measure outperforms the mutual information information gain and chi-square static with an average improvement of approximately 28.5% 19% and 9.2% respectively.
4,13,http://jmlr.csail.mit.edu/proceedings/papers/v13/,Hierarchical Convex NMF for Clustering Massive Data,"Kristian Kersting, Mirwaes Wahabzada, Christian Thurau, and Christian Bauckhage","13:253-268, 2010.",http://jmlr.csail.mit.edu/proceedings/papers/v13/kersting10a/kersting10a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v13/,,31st October 2010,"November 8-10, 2010",ACML 2010 Proceedings,Proceedings of 2nd Asian Conference on Machine Learning (ACML2010),"Tokyo, Japan",Masashi Sugiyama and Qiang Yang,v13_kersting10a,http://jmlr.csail.mit.edu/proceedings/papers/v13/kersting10a.html,We present an extension of convex-hull non-negative matrix factorization (CH-NMF) which was recently proposed as a large scale variant of convex non-negative matrix factorization or Archetypal Analysis. CHNMF factorizes a non-negative data matrix V into two non-negative matrix factors V = WH such that the columns of W are convex combinations of certain data points so that they are readily interpretable to data analysts. There is however no free lunch: imposing convexity constraints on W typically prevents adaptation to intrinsic low dimensional structures in the data. Alas in cases where the data is distributed in a non-convex manner or consists of mixtures of lower dimensional convex distributions the cluster representatives obtained from CH-NMF will be less meaningful. In this paper we present a hierarchical CH-NMF that automatically adapts to internal structures of a dataset hence it yields meaningful and interpretable clusters for non-convex datasets. This is also confirmed by our extensive evaluation on DBLP publication records of 760000 authors 4000000 images harvested from the web and 150000000 votes on World of Warcraft guilds.
5,13,http://jmlr.csail.mit.edu/proceedings/papers/v13/,Decision Tree for Dynamic and Uncertain Data Streams,"Chunquan Liang, Yang Zhang, and Qun Song","13:209-224, 2010.",http://jmlr.csail.mit.edu/proceedings/papers/v13/liang10a/liang10a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v13/,,31st October 2010,"November 8-10, 2010",ACML 2010 Proceedings,Proceedings of 2nd Asian Conference on Machine Learning (ACML2010),"Tokyo, Japan",Masashi Sugiyama and Qiang Yang,v13_liang10a,http://jmlr.csail.mit.edu/proceedings/papers/v13/liang10a.html,Current research on data stream classification mainly focuses on certain data in which precise and definite value is usually assumed. However data with uncertainty is quite natural in real-world application due to various causes including imprecise measurement repeated sampling and network errors. In this paper we focus on uncertain data stream classification. Based on CVFDT and DTU we propose our UCVFDT (Uncertainty-handling and Concept-adapting Very Fast Decision Tree) algorithm which not only maintains the ability of CVFDT to cope with concept drift with high speed but also adds the ability to handle data with uncertain attribute. Experimental study shows that the proposed UCVFDT algorithm is efficient in classifying dynamic data stream with uncertain numerical attribute and it is computationally efficient.
6,13,http://jmlr.csail.mit.edu/proceedings/papers/v13/,Ellipsoidal Support Vector Machines,"Michinari Momma, Kohei Hatano, and Hiroki Nakayama","13:31-46, 2010.",http://jmlr.csail.mit.edu/proceedings/papers/v13/momma10a/momma10a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v13/,,31st October 2010,"November 8-10, 2010",ACML 2010 Proceedings,Proceedings of 2nd Asian Conference on Machine Learning (ACML2010),"Tokyo, Japan",Masashi Sugiyama and Qiang Yang,v13_momma10a,http://jmlr.csail.mit.edu/proceedings/papers/v13/momma10a.html,This paper proposes the ellipsoidal SVM (e-SVM) that uses an ellipsoid center in the version space to approximate the Bayes point. Since SVM approximates it by a sphere center e-SVM provides an extension to SVM for better approximation of the Bayes point. Although the idea has been mentioned before (Rujan 1997) no work has been done for formulating and kernelizing the method. Starting from the maximum volume ellipsoid problem we successfully formulate and kernelize it by employing relaxations. The resulting e-SVM optimization framework has much similarity to SVM; it is naturally extendable to other loss functions and other problems. A variant of the sequential minimal optimization is provided for efficient batch implementation. Moreover we provide an online version of linear or primal e-SVM to be applicable for large-scale datasets.
7,13,http://jmlr.csail.mit.edu/proceedings/papers/v13/,Generative Models of Information Diffusion with Asynchronous Timedelay,"Kazumi Saito, Masahiro Kimura, Kouzou Ohara, and Hiroshi Motoda","13:193-208, 2010.",http://jmlr.csail.mit.edu/proceedings/papers/v13/saito10a/saito10a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v13/,,31st October 2010,"November 8-10, 2010",ACML 2010 Proceedings,Proceedings of 2nd Asian Conference on Machine Learning (ACML2010),"Tokyo, Japan",Masashi Sugiyama and Qiang Yang,v13_saito10a,http://jmlr.csail.mit.edu/proceedings/papers/v13/saito10a.html,We address the problem of formalizing an information diffusion process on a social network as a generative model in the machine learning framework so that we can learn model parameters from the observation. Time delay plays an important role in formulating the likelihood function as well as for the analyses of information diffusion. We identified that there are two different types of time delay: link delay and node delay. The former corresponds to the delay associated with information propagation and the latter corresponds to the delay due to human action. We further identified that there are two distinctions of the way the activation from the multiple parents is updated: nonoverride and override. The former sticks to the initial activation and the latter can decide to update the time to activate multiple times. We formulated the likelihood function of the well known diffusion models: independent cascade and linear threshold both enhanced with asynchronous time delay distinguishing the difference in two types of delay and two types of update scheme. Simulation using four real world networks reveals that there are differences in the spread of information diffusion and they strongly depend on the choice of the parameter values and the denseness of the network.
8,14,http://jmlr.csail.mit.edu/proceedings/papers/v14/,Ranking by calibrated AdaBoost,"R. Busa-Fekete, B. K _ gl, T. € ltet _ & G. Szarvas","14:37_48, 2011.",http://jmlr.csail.mit.edu/proceedings/papers/v14/busa-fekete11a/busa-fekete11a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v14/,,26th January 2011,"June 25, 2010,",Proceedings of the Learning to Rank Challenge,Proceedings of the Yahoo! Learning to Rank Challenge,"Haifa, Israel","Olivier Chapelle, Yi Chang, Tie-Yan Liu",v14_busa-fekete11a,http://jmlr.csail.mit.edu/proceedings/papers/v14/busa-fekete11a.html,This paper describes the ideas and methodologies that we used in the Yahoo learning-to-rank challenge      1    . Our technique is essentially pointwise with a listwise touch at the last combination step. The main ingredients of our approach are 1) preprocessing (querywise normalization) 2) multi-class A d  a B o  o  s  t .MH 3) regression calibration and 4) an exponentially weighted forecaster for model combination. In post-challenge analysis we found that preprocessing and training AdaBoost with a wide variety of hyperparameters improved individual models signi_cantly the _nal listwise ensemble step was crucial whereas calibration helped only in creating diversity.   Page last modified on Wed Jan 26 10:36:50 2011.
9,15,http://jmlr.csail.mit.edu/proceedings/papers/v15/,Unsupervised Supervised Learning II: Margin-Based Classification without Labels,"Krishnakumar Balasubramanian, Pinar Donmez, Guy Lebanon","15:137-145, 2011.",http://jmlr.csail.mit.edu/proceedings/papers/v15/balasubramanian11a/balasubramanian11a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v15/,,14th June 2011,"April 11-13, 2011",AISTATS 2011 Proceedings,Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics,"Fort Lauderdale, FL, USA","Geoffrey Gordon, David Dunson, and Miroslav DudÕ_k",v15_balasubramanian11a,http://jmlr.csail.mit.edu/proceedings/papers/v15/balasubramanian11a.html,Many popular linear classifiers such as logistic regression boosting or SVM are trained by optimizing margin-based risk functions. Traditionally these risk functions are computed based on a labeled dataset. We develop a novel technique for estimating such risks using only unlabeled data and knowledge of p(y). We prove that the proposed risk estimator is consistent on high-dimensional datasets and demonstrate it on synthetic and real-world data. In particular we show how the estimate is used for evaluating classifiers in transfer learning and for training classifiers using exclusively unlabeled data.   [pdf]
10,15,http://jmlr.csail.mit.edu/proceedings/papers/v15/,Concave Gaussian Variational Approximations for Inference in Large-Scale Bayesian Linear Models,"Edward Challis, David Barber","15:199-207, 2011.",http://jmlr.csail.mit.edu/proceedings/papers/v15/challis11a/challis11a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v15/,,14th June 2011,"April 11-13, 2011",AISTATS 2011 Proceedings,Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics,"Fort Lauderdale, FL, USA","Geoffrey Gordon, David Dunson, and Miroslav DudÕ_k",v15_challis11a,http://jmlr.csail.mit.edu/proceedings/papers/v15/challis11a.html,Two popular approaches to forming bounds in approximate Bayesian inference are local variational methods and minimal Kullback-Leibler divergence methods. For a large class of models we explicitly relate the two approaches showing that the local variational method is equivalent to a weakened form of Kullback-Leibler Gaussian approximation. This gives a strong motivation to develop efficient methods for KL minimisation. An important and previously unproven property of the KL variational Gaussian bound is that it is a concave function in the parameters of the Gaussian for log concave sites. This observation along with compact concave parametrisations of the covariance enables us to develop fast scalable optimisation procedures to obtain lower bounds on the marginal likelihood in large scale Bayesian linear models.   [pdf]  [supplementary]
